EventNumber,EventName,RandomSeed,EventWeight,Primary [Type],Energy [GeV],Zenith [Deg],"Azimuth [Deg, Geomagnetic]",Model
224,Xi_Sib_Proton_1.63_83.3_3.355_224,0.6601754180,1,Proton,1.6342250524668482,83.32337113344593,3.355090278727171,Sib
225,Xi_Sib_Iron_0.554_84.9_200.4_225,0.8874909606,1,Iron,0.5542150927038193,84.89825341461807,200.40609429312474,Sib
226,Xi_Sib_Proton_0.204_83.7_40.82_226,0.1194352510,1,Proton,0.20352960240188486,83.66750873891522,40.816591070470174,Sib
227,Xi_Sib_Iron_1.72_87.5_5.952_227,0.7322639562,1,Iron,1.7238213112105616,87.52201558904487,5.9521482535159675,Sib
228,Xi_Sib_Proton_0.0341_65.6_76.22_228,0.3374058826,1,Proton,0.03412700081991147,65.5779697631253,76.21624381393599,Sib
229,Xi_Sib_Iron_1.68_72.8_18.72_229,0.3073533895,1,Iron,1.6835701257687417,72.78955517947145,18.723093358098566,Sib
230,Xi_Sib_Proton_1.54_71.5_182.2_230,0.5425235557,1,Proton,1.5436571812605946,71.46777590086117,182.22564167433666,Sib
231,Xi_Sib_Iron_0.0632_74.8_266.6_231,0.8208104922,1,Iron,0.06324163094054386,74.80897250579716,266.61568050750213,Sib
232,Xi_Sib_Proton_1.69_57.1_281.0_232,0.1403159649,1,Proton,1.6925786196948305,57.05778566096212,281.0164650430529,Sib
233,Xi_Sib_Iron_3.4_67.6_45.11_233,0.4896950923,1,Iron,3.403363223012401,67.64908214405202,45.10537606438772,Sib
234,Xi_Sib_Proton_1.05_69.4_75.33_234,0.4621353492,1,Proton,1.0495301308896312,69.43583777320232,75.33410704957488,Sib
235,Xi_Sib_Iron_0.157_70.9_11.42_235,0.1942524918,1,Iron,0.15745750609440348,70.86097873417323,11.419116662621072,Sib
236,Xi_Sib_Proton_3.14_86.3_39.63_236,0.8517620786,1,Proton,3.1425347540019684,86.28093209962866,39.62658773658617,Sib
237,Xi_Sib_Iron_0.457_86.0_128.5_237,0.5096038089,1,Iron,0.4572919231586973,86.02129658489183,128.52167120796693,Sib
238,Xi_Sib_Proton_0.0388_73.2_122.5_238,0.7927130814,1,Proton,0.038751188724124246,73.17530804610966,122.46555018190745,Sib
239,Xi_Sib_Iron_0.388_77.4_210.6_239,0.2924517746,1,Iron,0.3877827345926559,77.4107068360423,210.64476190800656,Sib
240,Xi_Sib_Proton_3.25_61.4_308.1_240,0.4651383347,1,Proton,3.249771879172188,61.416249200051624,308.09891932655756,Sib
241,Xi_Sib_Iron_0.528_75.8_269.9_241,0.1615035191,1,Iron,0.5277387215426086,75.79216677194351,269.91584528178663,Sib
242,Xi_Sib_Proton_0.0423_86.9_50.71_242,0.9351740161,1,Proton,0.04232341281776179,86.946528965353,50.71302792885988,Sib
243,Xi_Sib_Iron_0.0605_86.0_279.7_243,0.8730020554,1,Iron,0.060507230393008996,86.01697345882127,279.6767787528152,Sib
244,Xi_Sib_Proton_0.112_77.4_147.0_244,0.4539085660,1,Proton,0.11230613940645186,77.39135291464758,147.02418615591824,Sib
245,Xi_Sib_Iron_0.0868_62.9_229.9_245,0.8409546162,1,Iron,0.08677705058475904,62.90826478107708,229.9211635358305,Sib
246,Xi_Sib_Proton_0.0966_68.0_262.3_246,0.4768857228,1,Proton,0.09660575722013792,68.01865429961265,262.32885345734087,Sib
247,Xi_Sib_Iron_0.0899_85.1_148.6_247,0.6177304399,1,Iron,0.08989083296423843,85.09101035555787,148.60308079266116,Sib
248,Xi_Sib_Proton_0.194_50.5_114.4_248,0.0528729524,1,Proton,0.19432159640796842,50.54850024075602,114.40010852251955,Sib
249,Xi_Sib_Iron_0.11_87.2_129.4_249,0.4914571394,1,Iron,0.10990119350576599,87.23739393627274,129.3805915810717,Sib
